fi;lam;h
48.9959;2.5517;404.00
48.9950;2.5311;625.00
48.9940;2.5107;892.00
48.9929;2.4925;1128.00
48.9919;2.4752;1166.00
48.9871;2.4025;1470.00
48.9723;2.3021;2484.00
48.9580;2.2889;2659.00
48.9327;2.2647;3040.00
48.9059;2.2376;3429.00
48.8775;2.2098;3764.00
48.8436;2.1766;3955.00
48.8120;2.1479;4176.00
48.7860;2.1312;4442.00
48.7559;2.1221;4717.00
48.7248;2.1238;4991.00
48.6917;2.1354;5288.00
48.6623;2.1435;5540.00
48.5871;2.1535;6142.00
48.5332;2.1592;6538.00
48.4799;2.1670;6896.00
48.4241;2.1759;7216.00
48.3676;2.1846;7529.00
48.3090;2.1935;7826.00
48.2513;2.2021;8085.00
48.1893;2.2114;8374.00
48.1286;2.2204;8641.00
48.0665;2.2297;8900.00
48.0055;2.2388;9129.00
47.9392;2.2487;9502.00
47.8793;2.2577;9815.00
47.8164;2.2670;10058.00
47.7541;2.2761;10325.00
47.6910;2.2852;10554.00
47.6305;2.2940;10668.00
47.5677;2.3034;10668.00
47.5043;2.3127;10668.00
47.4421;2.3217;10668.00
47.3798;2.3308;10668.00
47.3154;2.3402;10668.00
47.2520;2.3493;10668.00
47.1845;2.3590;10668.00
47.1174;2.3687;10668.00
47.0457;2.3792;10668.00
46.9802;2.3885;10668.00
46.9163;2.3975;10668.00
46.8521;2.4067;10668.00
46.7886;2.4157;10668.00
46.7255;2.4247;10668.00
46.6613;2.4338;10668.00
46.5950;2.4432;10668.00
46.5334;2.4518;10668.00
46.4701;2.4607;10668.00
46.3988;2.4707;10668.00
46.3357;2.4795;10668.00
46.2667;2.4892;10668.00
46.2018;2.4983;10668.00
46.1390;2.5070;10668.00
46.0726;2.5161;10668.00
46.0092;2.5249;10668.00
45.9446;2.5338;10668.00
45.8789;2.5428;10668.00
45.8169;2.5512;10668.00
45.7475;2.5608;10668.00
45.6819;2.5699;10668.00
45.6170;2.5786;10668.00
45.5523;2.5874;10668.00
45.4869;2.5963;10668.00
45.4216;2.6052;10668.00
45.3553;2.6141;10668.00
45.2922;2.6227;10668.00
45.2261;2.6315;10668.00
45.1617;2.6401;10668.00
45.0928;2.6493;10668.00
45.0254;2.6583;10668.00
44.9594;2.6671;10668.00
44.8926;2.6760;10668.00
44.8263;2.6848;10668.00
44.7607;2.6934;10668.00
44.6912;2.7026;10668.00
44.6264;2.7111;10668.00
44.5623;2.7196;10668.00
44.4951;2.7284;10668.00
44.4284;2.7371;10668.00
44.3620;2.7457;10668.00
44.2927;2.7548;10668.00
44.2226;2.7638;10668.00
44.1566;2.7723;10668.00
44.0927;2.7805;10668.00
44.0217;2.7897;10668.00
43.9530;2.7987;10668.00
43.8858;2.8072;10668.00
43.8169;2.8160;10668.00
43.7501;2.8245;10668.00
43.6830;2.8331;10668.00
43.6122;2.8421;10668.00
43.5452;2.8506;10668.00
43.4783;2.8591;10668.00
43.4091;2.8678;10668.00
43.3413;2.8763;10668.00
43.2711;2.8851;10668.00
43.2024;2.8937;10676.00
43.1335;2.9024;10676.00
43.0637;2.9111;10668.00
42.9939;2.9198;10660.00
42.9288;2.9279;10668.00
42.8598;2.9365;10668.00
42.7883;2.9453;10668.00
42.7228;2.9533;10660.00
42.6500;2.9623;10668.00
42.5776;2.9713;10668.00
42.5042;2.9820;10660.00
42.4421;3.0003;10668.00
42.3727;3.0294;10668.00
42.2935;3.0629;10668.00
42.2335;3.0873;10660.00
42.1977;3.0927;10676.00
42.1150;3.0963;10668.00
42.0402;3.1008;10668.00
41.9623;3.1071;10668.00
41.8927;3.1103;10668.00
41.8128;3.1117;10668.00
41.7406;3.1134;10668.00
41.6679;3.1154;10668.00
41.6009;3.1173;10668.00
41.5270;3.1192;10668.00
41.4529;3.1211;10668.00
41.3806;3.1228;10668.00
41.3102;3.1244;10660.00
41.2379;3.1259;10668.00
41.1668;3.1274;10668.00
41.0930;3.1288;10668.00
41.0199;3.1303;10668.00
40.9483;3.1317;10668.00
40.8766;3.1332;10668.00
40.8059;3.1345;10668.00
40.7331;3.1361;10668.00
40.6594;3.1375;10668.00
40.5893;3.1389;10668.00
40.5188;3.1395;10668.00
40.4468;3.1329;10668.00
40.3914;3.1213;10668.00
40.3555;3.1107;10668.00
40.2873;3.0870;10668.00
40.2224;3.0638;10668.00
40.1561;3.0405;10668.00
40.0911;3.0182;10668.00
40.0234;2.9954;10668.00
39.9583;2.9736;10676.00
39.8931;2.9528;10668.00
39.8211;2.9312;10668.00
39.7750;2.9175;10668.00
39.7025;2.8954;10668.00
39.6323;2.8739;10668.00
39.5609;2.8521;10668.00
39.4911;2.8307;10668.00
39.4202;2.8092;10668.00
39.3547;2.7891;10668.00
39.2881;2.7689;10668.00
39.2219;2.7490;10668.00
39.1552;2.7288;10668.00
39.0819;2.7067;10668.00
39.0178;2.6873;10668.00
38.9475;2.6663;10668.00
38.8849;2.6476;10668.00
38.8174;2.6274;10668.00
38.7496;2.6072;10668.00
38.6803;2.5865;10668.00
38.6166;2.5676;10668.00
38.5475;2.5470;10668.00
38.4822;2.5277;10668.00
38.4144;2.5077;10668.00
38.3471;2.4878;10668.00
38.2803;2.4681;10668.00
38.2108;2.4478;10668.00
38.1430;2.4279;10668.00
38.0767;2.4085;10668.00
38.0096;2.3889;10668.00
37.9418;2.3691;10668.00
37.8738;2.3493;10668.00
37.8068;2.3299;10668.00
37.7383;2.3079;10668.00
37.6725;2.2845;10668.00
37.6131;2.2636;10668.00
37.5229;2.2325;10668.00
37.4429;2.2054;10668.00
37.3769;2.1832;10668.00
37.3131;2.1618;10668.00
37.2255;2.1324;10668.00
37.1604;2.1105;10668.00
37.0964;2.0889;10668.00
37.0319;2.0672;10668.00
36.9626;2.0440;10782.00
36.8967;2.0221;10965.00
36.8316;2.0003;10973.00
36.7656;1.9782;10973.00
36.7019;1.9570;10973.00
36.6351;1.9349;10973.00
36.5702;1.9134;10973.00
36.5047;1.8918;10973.00
36.4381;1.8697;10973.00
36.3747;1.8488;10973.00
36.3086;1.8270;10973.00
36.2439;1.8057;10973.00
36.1767;1.7837;10973.00
36.1130;1.7628;10973.00
36.0440;1.7403;10973.00
35.9789;1.7191;10973.00
35.9119;1.6972;10973.00
35.8460;1.6758;10973.00
35.7796;1.6542;10973.00
35.7145;1.6332;10973.00
35.6489;1.6119;10973.00
35.5832;1.5907;10973.00
35.5177;1.5696;10973.00
35.4518;1.5483;10973.00
35.3858;1.5271;10973.00
35.3190;1.5060;10973.00
35.2515;1.4880;10973.00
35.1838;1.4705;10973.00
35.1146;1.4522;10973.00
35.0474;1.4341;10973.00
34.9227;1.4005;10973.00
34.8553;1.3823;10973.00
34.7886;1.3643;10973.00
34.7214;1.3463;10973.00
34.6552;1.3286;10973.00
34.5878;1.3105;10973.00
34.5213;1.2928;10973.00
34.4532;1.2748;10973.00
34.3626;1.2508;10973.00
34.2517;1.2214;10973.00
34.1855;1.2039;10973.00
34.1167;1.1858;10973.00
33.9824;1.1505;10973.00
33.8928;1.1270;10973.00
33.7559;1.0912;10973.00
33.4762;1.0297;10973.00
33.3416;1.0003;10973.00
33.1761;0.9790;10973.00
33.0694;0.9591;10973.00
32.8002;0.9006;10973.00
32.6718;0.8729;10973.00
32.5393;0.8443;10973.00
32.4089;0.8163;10973.00
32.1606;0.7632;10973.00
32.0344;0.7363;10973.00
31.9018;0.7081;10973.00
31.6514;0.6551;10973.00
31.4031;0.6029;10973.00
31.2726;0.5755;10973.00
31.1442;0.5487;10973.00
30.9000;0.4979;10973.00
30.7695;0.4708;10973.00
30.5190;0.4191;10973.00
30.2706;0.3680;10973.00
30.1400;0.3413;10973.00
30.0137;0.3155;10973.00
29.8811;0.2885;10973.00
29.6305;0.2377;10973.00
29.5020;0.2118;10973.00
29.2514;0.1614;10973.00
29.1251;0.1360;10973.00
28.8892;0.0889;10973.00
28.7607;0.0634;10973.00
28.6343;0.0382;10973.00
28.5058;0.0128;10973.00
28.3752;-0.0130;10973.00
28.2446;-0.0387;10973.00
28.0023;-0.0863;10973.00
27.8759;-0.1110;10973.00
27.7474;-0.1361;10973.00
27.6210;-0.1608;10973.00
27.4924;-0.1857;10973.00
27.2396;-0.2347;10973.00
26.9867;-0.2834;10973.00
26.8603;-0.3077;10973.00
26.7338;-0.3320;10973.00
26.5947;-0.3585;10973.00
26.4683;-0.3827;10973.00
26.2174;-0.4303;10973.00
26.0910;-0.4543;10973.00
25.9645;-0.4782;10973.00
25.8380;-0.5021;10973.00
25.5893;-0.5488;10973.00
25.4586;-0.5733;10973.00
25.3300;-0.5974;10973.00
25.0770;-0.6446;10973.00
24.8261;-0.6911;10973.00
24.6974;-0.7149;10973.00
24.4718;-0.7566;10973.00
24.3179;-0.7849;10973.00
24.1914;-0.8081;10973.00
23.9467;-0.8529;10973.00
23.8118;-0.8775;10973.00
23.6852;-0.9006;10973.00
23.5587;-0.9236;10973.00
23.4321;-0.9465;10973.00
23.3056;-0.9694;10973.00
23.0567;-1.0144;10973.00
22.8000;-1.0606;10973.00
22.6727;-1.0834;10973.00
22.5432;-1.1065;10973.00
22.2971;-1.1505;10973.00
22.1613;-1.1746;10973.00
22.0340;-1.1973;10973.00
21.7814;-1.2420;10973.00
21.6520;-1.2649;10973.00
21.5246;-1.2873;10973.00
21.3952;-1.3101;10973.00
21.1426;-1.3545;10973.00
20.8964;-1.3976;10973.00
20.7606;-1.4213;10973.00
20.5144;-1.4642;10973.00
20.3870;-1.4863;10973.00
20.1365;-1.5297;10973.00
19.8818;-1.5737;10973.00
19.6355;-1.6161;10973.00
19.4869;-1.6416;10973.00
19.2342;-1.6848;10973.00
19.1069;-1.7066;10973.00
18.8521;-1.7501;10973.00
18.6079;-1.7915;10973.00
18.3573;-1.8340;10973.00
18.2236;-1.8566;10973.00
18.0877;-1.8796;10973.00
17.9603;-1.9010;10973.00
17.7160;-1.9421;10973.00
17.4676;-1.9838;10973.00
17.2191;-2.0254;10973.00
17.0683;-2.0505;10973.00
16.9409;-2.0718;10973.00
16.6924;-2.1131;10973.00
16.4312;-2.1564;10973.00
16.1805;-2.1979;10973.00
15.1917;-2.3371;10973.00
15.1001;-2.3523;10973.00
14.9647;-2.3749;10973.00
14.8986;-2.3860;10973.00
14.8326;-2.3969;10973.00
14.7663;-2.4080;10973.00
14.6974;-2.4196;10973.00
14.6298;-2.4308;10973.00
14.5628;-2.4419;10973.00
14.4964;-2.4530;10973.00
14.4288;-2.4642;10973.00
14.3616;-2.4754;10973.00
14.2941;-2.4865;10973.00
14.2272;-2.4977;10973.00
14.1594;-2.5089;10973.00
14.0874;-2.5208;10973.00
14.0177;-2.5324;10973.00
13.9338;-2.5463;10973.00
13.8587;-2.5587;10973.00
13.7890;-2.5702;10973.00
13.7215;-2.5814;10973.00
13.6530;-2.5926;10973.00
13.5853;-2.6038;10973.00
13.5182;-2.6148;10973.00
13.4503;-2.6260;10973.00
13.3828;-2.6371;10973.00
13.3159;-2.6482;10973.00
13.2488;-2.6592;10973.00
13.1814;-2.6703;10973.00
13.1141;-2.6813;10973.00
13.0469;-2.6924;10973.00
12.9795;-2.7035;10973.00
12.9124;-2.7145;10973.00
12.8458;-2.7254;10973.00
12.7782;-2.7365;10973.00
12.7107;-2.7475;10973.00
12.5771;-2.7693;10973.00
12.5098;-2.7803;10973.00
12.4413;-2.7915;10973.00
12.3743;-2.8025;10973.00
12.3077;-2.8133;10973.00
12.2403;-2.8243;10973.00
12.1740;-2.8352;10973.00
12.1069;-2.8461;10973.00
12.0393;-2.8571;10973.00
11.9729;-2.8679;10973.00
11.9058;-2.8788;10973.00
11.8398;-2.8897;10973.00
11.7727;-2.9005;10973.00
11.7069;-2.9112;10973.00
11.6410;-2.9219;10973.00
11.5747;-2.9327;10973.00
11.5084;-2.9435;10973.00
11.4426;-2.9541;10973.00
11.3768;-2.9648;10973.00
11.3105;-2.9755;10973.00
11.2438;-2.9863;10973.00
11.1759;-2.9973;10973.00
11.0544;-3.0170;10973.00
10.9741;-3.0301;10973.00
10.8483;-3.0504;10973.00
10.7823;-3.0610;10973.00
10.7100;-3.0727;10973.00
10.3955;-3.1226;10973.00
10.2515;-3.1466;10973.00
10.1802;-3.1576;10973.00
9.8636;-3.2076;10973.00
9.8484;-3.1943;10973.00
9.6042;-3.2337;10973.00
9.3578;-3.2734;10973.00
9.2070;-3.2976;10973.00
9.0774;-3.3185;10973.00
8.9500;-3.3390;10973.00
8.8225;-3.3594;10973.00
8.6100;-3.3037;10973.00
8.5189;-3.3103;10973.00
8.4342;-3.3166;10973.00
8.3679;-3.3214;10973.00
8.3240;-3.3256;10973.00
8.2452;-3.3409;10973.00
8.1678;-3.3561;10973.00
8.0922;-3.3709;10973.00
8.0249;-3.3835;10973.00
7.9616;-3.3949;10973.00
7.8943;-3.4071;10973.00
7.8267;-3.4193;10973.00
7.7605;-3.4313;10973.00
7.6935;-3.4437;10973.00
7.6268;-3.4561;10973.00
7.5607;-3.4683;10973.00
7.4810;-3.4832;10973.00
7.4147;-3.4957;10973.00
7.3430;-3.5092;10973.00
7.2893;-3.5193;10912.00
7.2554;-3.5292;10683.00
7.1902;-3.5604;10310.00
7.1291;-3.5929;9601.00
7.0683;-3.6251;9091.00
7.0038;-3.6589;8611.00
6.9403;-3.6925;8062.00
6.8777;-3.7252;7711.00
6.8146;-3.7573;7353.00
6.7547;-3.7880;6988.00
6.6959;-3.8179;6782.00
6.6410;-3.8451;6561.00
6.5909;-3.8694;6408.00
6.5464;-3.8910;6226.00
6.5000;-3.9136;5898.00
6.4559;-3.9357;5646.00
6.4124;-3.9574;5441.00
6.3689;-3.9786;5235.00
6.3420;-3.9910;5098.00
6.2966;-4.0051;4900.00
6.2447;-4.0197;4671.00
6.1998;-4.0321;4473.00
6.1560;-4.0448;4298.00
6.1170;-4.0560;4107.00
6.0596;-4.0566;3978.00
6.0193;-4.0553;3848.00
5.9786;-4.0540;3703.00
5.9485;-4.0507;3597.00
5.9125;-4.0388;3406.00
5.8723;-4.0222;3231.00
5.8380;-4.0078;3071.00
5.8029;-3.9931;2888.00
5.7689;-3.9788;2697.00
5.7335;-3.9640;2515.00
5.6997;-3.9498;2339.00
5.6650;-3.9354;2164.00
5.6323;-3.9218;2019.00
5.6138;-3.9141;1974.00
